,time,q1,q2,q3,q4,yaw,pitch,roll,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
3,15431,-0.19,0.41,0.08,-0.89,-2.71,-0.77,-0.31,-5322,-3459,5910,16,4,-14
4,15505,0.68,0.04,0.25,-0.69,1.64,-0.41,-0.29,-4576,-2461,4769,10,-1,-14
5,15587,0.82,0.17,0.41,-0.36,1.07,-0.91,-0.02,-7026,-14032,5177,96,-2,-7
0,15661,0.64,0.21,0.16,-0.72,1.67,-0.54,0.04,-3730,-1518,6201,11,3,-6
1,15738,0.19,-0.78,-0.6,0.01,1.28,0.21,-0.32,2213,-3189,-9220,-1,0,-1
2,15801,0.26,0.21,0.18,-0.92,2.51,-0.51,-0.23,-3916,-2042,6654,2,-6,-2
3,15870,-0.26,0.42,0.05,-0.87,-2.47,-0.78,-0.3,-6017,-3010,5710,6,4,-3
4,15945,0.66,0.05,0.26,-0.7,1.69,-0.42,-0.3,-3773,-2824,5067,4,-7,-3
5,16025,0.61,0.32,0.29,-0.66,1.62,-0.9,0,-6763,-14190,5107,96,1,-5
0,16089,0.6,0.22,0.14,-0.75,1.75,-0.53,0.05,-3498,-1543,6318,13,-7,-12
1,16177,0.19,-0.78,-0.6,0.01,1.28,0.21,-0.32,2215,-3159,-9262,-1,0,-1
2,16240,0.22,0.24,0.18,-0.93,2.58,-0.55,-0.23,-4742,-2052,6220,6,0,-8
3,16310,-0.33,0.42,0.02,-0.85,-2.25,-0.77,-0.31,-5914,-3036,5734,10,4,-8
4,16386,0.63,0.06,0.25,-0.73,1.78,-0.41,-0.29,-3980,-2663,5028,5,-4,-7
5,16455,0.28,0.41,0.15,-0.86,2.28,-0.9,-0.02,-7091,-14018,5180,96,-2,-5
0,16538,0.54,0.23,0.13,-0.8,1.88,-0.54,0.05,-3717,-1460,6193,11,-1,-1
1,16615,0.19,-0.78,-0.6,0.01,1.28,0.21,-0.32,2042,-3142,-9427,-1,0,-1
2,16680,0.19,0.22,0.16,-0.94,2.65,-0.5,-0.22,-3635,-2047,6793,3,4,-4
3,16749,-0.37,0.42,-0.01,-0.83,-2.1,-0.78,-0.3,-5871,-3167,5735,10,3,-8
4,16825,0.61,0.06,0.25,-0.75,1.82,-0.41,-0.3,-3907,-2753,5043,8,-6,-7
5,16905,-0.1,0.43,-0.04,-0.89,-2.81,-0.9,0,-6534,-14205,5109,96,1,-15
0,16976,0.49,0.24,0.11,-0.83,2.02,-0.53,0.05,-3749,-1472,6191,13,-1,-9
1,17062,0.19,-0.78,-0.6,0.01,1.28,0.21,-0.32,2262,-3198,-9174,-1,0,-1
2,17121,0.14,0.25,0.16,-0.95,2.74,-0.54,-0.23,-4193,-2062,6532,5,-1,-7
3,17199,-0.44,0.42,-0.04,-0.79,-1.9,-0.77,-0.31,-6048,-2940,5697,10,7,-6
4,17275,0.58,0.08,0.25,-0.77,1.9,-0.42,-0.3,-4126,-2745,4926,2,-8,1
5,17344,-0.46,0.37,-0.22,-0.78,-1.91,-0.9,0,-6659,-14314,5065,96,-2,-3
0,17426,0.45,0.25,0.09,-0.86,2.11,-0.53,0.06,-3491,-1481,6278,12,-2,-5
1,17511,0.19,-0.78,-0.6,0.01,1.28,0.21,-0.32,1839,-3112,-9471,-1,0,-1
2,17569,0.12,0.24,0.15,-0.95,2.81,-0.52,-0.22,-3879,-2049,6680,2,25,-1
3,17638,-0.49,0.42,-0.07,-0.76,-1.78,-0.78,-0.31,-5592,-3314,5882,16,8,-14
4,17715,0.55,0.08,0.24,-0.8,1.97,-0.41,-0.3,-4612,-2551,4759,9,-4,-14
5,17794,-0.74,0.26,-0.36,-0.5,-1.32,-0.91,-0.02,-6964,-14116,5121,96,-1,-7
0,17865,0.37,0.25,0.08,-0.89,2.28,-0.53,0.05,-3556,-1496,6253,11,0,-5
1,17949,0.19,-0.78,-0.6,0.01,1.28,0.21,-0.32,2128,-3193,-9298,-1,0,-1
2,18019,0.07,0.24,0.13,-0.96,2.93,-0.5,-0.23,-4187,-2024,6493,1,-5,-1
3,18086,-0.54,0.41,-0.1,-0.72,-1.65,-0.78,-0.31,-5741,-3295,5781,6,3,-3
4,18165,0.53,0.09,0.24,-0.81,2.01,-0.41,-0.31,-3845,-2813,5045,6,-4,-7
5,18233,-0.89,0.08,-0.43,-0.17,-0.56,-0.9,0,-6812,-14280,5102,96,1,-6
0,18315,0.32,0.26,0.06,-0.91,2.39,-0.53,0.05,-3398,-1626,6321,11,1,-18
1,18396,0.19,-0.78,-0.6,0.02,1.28,0.21,-0.32,2451,-3215,-9026,-1,0,-1
2,18459,0.03,0.27,0.12,-0.95,3.01,-0.55,-0.22,-4435,-2032,6352,4,1,-7
3,18527,-0.6,0.4,-0.13,-0.68,-1.52,-0.77,-0.31,-5894,-3087,5721,10,5,-8
4,18606,0.49,0.1,0.23,-0.83,2.09,-0.41,-0.29,-3982,-2611,5009,4,-5,-8
5,18682,-0.87,-0.1,-0.42,0.23,0.74,-0.9,-0.02,-7055,-14063,5156,95,-2,-4
0,18753,0.26,0.26,0.05,-0.93,2.54,-0.54,0.05,-3617,-1532,6254,12,-2,-1
1,18834,0.19,-0.78,-0.6,0.01,1.28,0.21,-0.32,1909,-3121,-9405,-1,0,-1
2,18898,0,0.25,0.11,-0.96,3.09,-0.5,-0.22,-3685,-2031,6774,3,-3,-6
3,18976,-0.64,0.39,-0.16,-0.64,-1.44,-0.78,-0.3,-5845,-3161,5750,10,4,-8
4,19045,0.47,0.11,0.24,-0.84,2.13,-0.42,-0.3,-3921,-2789,5024,7,-5,-5
5,19123,-0.7,-0.27,-0.34,0.56,1.43,-0.91,0,-6525,-14207,5103,96,2,-13
0,19203,0.19,0.26,0.03,-0.95,2.71,-0.52,0.04,-3668,-1483,6209,13,-4,-12
1,19282,0.19,-0.78,-0.6,0.01,1.28,0.21,-0.32,2353,-3229,-9122,-1,0,-1
2,19348,-0.05,0.28,0.1,-0.95,-3.09,-0.54,-0.23,-4190,-2039,6487,5,-2,-7
3,19425,-0.7,0.38,-0.19,-0.58,-1.31,-0.77,-0.31,-5900,-3050,5737,11,5,-10
4,19495,0.43,0.12,0.23,-0.87,2.22,-0.42,-0.3,-4165,-2618,4936,1,-2,-3
5,19571,-0.4,-0.39,-0.2,0.81,2.02,-0.9,-0.01,-6954,-14191,5139,96,-5,0
0,19652,0.14,0.26,0.01,-0.96,2.83,-0.52,0.06,-3420,-1522,6290,11,0,-8
1,19729,0.19,-0.78,-0.6,0.01,1.28,0.21,-0.32,1914,-3132,-9420,-1,0,-1
2,19788,-0.09,0.27,0.09,-0.95,-3.01,-0.52,-0.22,-3830,-2070,6695,2,17,-3
3,19864,-0.73,0.36,-0.21,-0.54,-1.23,-0.78,-0.31,-5799,-3114,5739,11,5,-12
4,19946,0.4,0.13,0.22,-0.88,2.28,-0.41,-0.29,-4405,-2573,4877,8,-2,-11
5,20021,-0.02,-0.44,-0.02,0.9,3.06,-0.91,-0.02,-6993,-14069,5142,96,-1,-7
0,20090,0.06,0.26,-0.01,-0.96,3.02,-0.52,0.04,-3601,-1557,6285,13,7,-6
1,20177,0.19,-0.78,-0.6,0.01,1.28,0.21,-0.32,2218,-3168,-9209,-1,0,-1
2,20238,-0.14,0.27,0.08,-0.95,-2.88,-0.52,-0.23,-4151,-2031,6530,5,-8,-7
3,20314,-0.77,0.35,-0.24,-0.48,-1.13,-0.78,-0.31,-5989,-3058,5726,8,6,-4
4,20386,0.37,0.14,0.22,-0.89,2.34,-0.42,-0.3,-3900,-2784,4977,4,-5,-4
